Display Label,User defined Label,IsSystemOrDefault
Header,Participant Details,Default
NUM_REG_PARTICIPANTS,Registered Participants,Default
NUM_CONSENTED_PARTICIPANT,Consented Participants,Default
NUM_MALE_PARTICIPANTS,Male Participants,Default
NUM_FEMALE_PARTICIPANTS,Female participants,Default
Header,SCG Details,default
NUM_COMPLETE_SCG,Total Completed Specimen Collection Groups,Default
NUM_PENDING_SCG,Pending Specimen Collection Groups,Default
Header,Specimen Details,default
NUM_COLLECTED_SPECIMEN,Collected Specimens,Default
NUM_PENDING_SPECIMEN,Pending Specimens as of today,Default
NUM_AVAILABLE_SPECIMEN,Available Specimens,Default
NUM_DISTRIBUTED_SPECIMEN,Distributed Specimens,Default
NUM_FLUID_SPECIMEN_COLLECTED,Fluid Specimens,Default
NUM_TISSUE_SPECIMEN_COLLECTED,Tissue Specimens,Default
NUM_MOLECULAR_SPECIMEN_COLLECTED,Molecular Specimens,Default
NUM_CELL_SPECIMEN_COLLECTED,Cell Specimens,Default
NUM_SPECIMENS_BY_MALIGNANT_STATUS,Malignant Specimens,Default
NUM_SPECIMENS_BY_NON-MALIGNANT_CLASS,Non-malignant Specimens,Default

