"2","otherLabTestName",\N,"0","otherLabTestName","15",\N,"1288","1"
"3","result",\N,"0","result","14",\N,"1287","1"
"4","resultUnits",\N,"0","resultUnits","13",\N,"1286","1"
"5","testDate",\N,"0","testDate","12",\N,"1285","1"
"7","otherRelation",\N,"0","otherRelation","10",\N,"1293","2"
"9","treatmentRegimen",\N,"0","treatmentRegimen","17",\N,"1229","3"
"10","startDate",\N,"0","startDate","24",\N,"1240","4"
"11","endDate",\N,"0","endDate","23",\N,"1239","4"
"12","durationInDays",\N,"0","durationInDays","22",\N,"1238","4"
"14","otherAgent",\N,"0","otherAgent","35",\N,"1269","5"
"15","dose",\N,"0","dose","34",\N,"1268","5"
"16","doseUnits",\N,"0","doseUnits","33",\N,"1267","5"
"17","Date Interval or Duration",\N,"0","Date Interval or Duration","32",\N,"1266","5"
"21","otherAgent",\N,"0","otherAgent","21",\N,"1234","8"
"22","yearsAgentFree",\N,"0","yearsAgentFree","20",\N,"1233","8"
"23","Date Interval or Duration",\N,"0","Date Interval or Duration","19",\N,"1232","8"
"24","packsPerDay",\N,"0","packsPerDay","7",\N,"1299","9"
"25","drinksPerWeek",\N,"0","drinksPerWeek","25",\N,"1243","10"
"27","otherProcedure",\N,"0","otherProcedure","28",\N,"1252","11"
"28","dateOfExamination",\N,"0","dateOfExamination","27",\N,"1251","11"
"30","otherClinicalDiagnosis",\N,"0","otherClinicalDiagnosis","30",\N,"1256","12"
"32","otherTissueSite",\N,"0","otherTissueSite","37",\N,"1281","13"
"33","otherHistologic Type",\N,"0","otherHistologicType","20",\N,"1338","17"
"35","Histologic Variant Type",\N,"0","Histologic Variant Type","19",\N,"1334","18"
"40","otherGradingSystemName",\N,"0","otherGradingSystemName","26",\N,"1347","20"
"41","grade",\N,"0","grade","25",\N,"1346","20"
"43","Histologic Type",\N,"0","Histologic Type","17",\N,"1330","21"
"44","Invasion",\N,"0","Invasion","16",\N,"1329","21"
"45","Histologic Grade",\N,"0","Histologic Grade","15",\N,"1328","21"
"50","depthOfInvasion(mm)",\N,"0","depthOfInvasion","32",\N,"1355","24"
"51","depthOfInvasionCannotBeDetermined",\N,"0","depthOfInvasionCannotBeDetermined","31",\N,"1354","24"
"55","proportionOrPercentOfProstaticTissueInvolvedByTumor",\N,"0","proportionOrPercentOfProstaticTissueInvolvedByTumor","12",\N,"1380","26"
"57","mitoticCountIfOtherGradingSystemUsed",\N,"0","mitoticCountIfOtherGradingSystemUsed","36",\N,"1368","29"
"59","labTestName",\N,"0",\N,"11",\N,"1289","1"
"60","relation",\N,"0",\N,"9",\N,"1294","2"
"61","lymphaticInvasion",\N,"0",\N,"23",\N,"1343","19"
"62","venousInvasion",\N,"0",\N,"22",\N,"1342","19"
"63","perineuralInvasion",\N,"0",\N,"21",\N,"1341","19"
"64","gradingSystemName",\N,"0",\N,"24",\N,"1348","20"
"65","Details",\N,"0",\N,"10",\N,"1402","30"
"66","pathologicFinding",\N,"0",\N,"9",\N,"1403","30"
"67","details",\N,"0",\N,"8",\N,"1406","31"
"68","type",\N,"0",\N,"18",\N,"1335","18"
"69","Additional Finding",\N,"0",\N,"14",\N,"1399","21"
"70","comments",\N,"0",\N,"13",\N,"1331","21"
"71","agent",\N,"0",\N,"31",\N,"1270","5"
"72","intratumoralPeritumoralLymphocyticResponse",\N,"0",\N,"34",\N,"1361","22"
"73","tumorBorderConfiguration",\N,"0",\N,"33",\N,"1362","22"
"74","mitoticIndex",\N,"0",\N,"30",\N,"1351","24"
"75","tumorRegression",\N,"0",\N,"29",\N,"1352","24"
"76","tumorInfiltratingLymphocytes",\N,"0",\N,"28",\N,"1353","24"
"77","ulceration",\N,"0",\N,"27",\N,"1356","24"
"78","tertiaryPatternScore",\N,"0",\N,"7",\N,"1410","32"
"79","secondaryPatternScore",\N,"0",\N,"6",\N,"1411","32"
