"1","ProjectVersion","1.1","1"
"2","caB2BEntityGroup","caB2BEntityGroup","1"
"3","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_specimenCollectionGroup_edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup","5"
"4","derived","derived","5"
"5","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_specimenCollectionGroup_edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup","6"
"6","derived","derived","6"
"7","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","9"
"8","derived","derived","9"
"9","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","10"
"10","derived","derived","10"
"11","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","11"
"12","derived","derived","11"
"13","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","12"
"14","derived","derived","12"
"16","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","30"
"17","derived","derived","30"
"18","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","31"
"19","derived","derived","31"
"20","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","32"
"21","derived","derived","32"
"22","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","33"
"23","derived","derived","33"
"24","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","35"
"25","derived","derived","35"
"26","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","36"
"27","derived","derived","36"
"28","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","37"
"29","derived","derived","37"
"30","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","38"
"31","derived","derived","38"
"32","actualAssociationPointer","edu.wustl.catissuecore.domain.Container_children_parent_edu.wustl.catissuecore.domain.Container","42"
"33","derived","derived","42"
"34","actualAssociationPointer","edu.wustl.catissuecore.domain.Container_children_parent_edu.wustl.catissuecore.domain.Container","43"
"35","derived","derived","43"
"37","actualAssociationPointer","edu.wustl.catissuecore.domain.Container_edu.wustl.catissuecore.domain.Container_capacity_edu.wustl.catissuecore.domain.Capacity","54"
"38","derived","derived","54"
"39","derived","derived","57"
"40","derived","derived","58"
"41","derived","derived","59"
"42","derived","derived","61"
"43","derived","derived","62"
"44","derived","derived","63"
"45","derived","derived","64"
"46","derived","derived","65"
"47","actualAssociationPointer","edu.wustl.catissuecore.domain.Container_children_parent_edu.wustl.catissuecore.domain.Container","67"
"48","derived","derived","67"
"49","actualAssociationPointer","edu.wustl.catissuecore.domain.Container_children_parent_edu.wustl.catissuecore.domain.Container","68"
"50","derived","derived","68"
"51","actualAssociationPointer","edu.wustl.catissuecore.domain.Container_children_parent_edu.wustl.catissuecore.domain.Container","69"
"52","derived","derived","69"
"53","actualAssociationPointer","edu.wustl.catissuecore.domain.Container_edu.wustl.catissuecore.domain.Container_capacity_edu.wustl.catissuecore.domain.Capacity","71"
"54","derived","derived","71"
"55","actualAssociationPointer","edu.wustl.catissuecore.domain.Container_children_parent_edu.wustl.catissuecore.domain.Container","75"
"56","derived","derived","75"
"57","derived","derived","76"
"58","derived","derived","77"
"59","derived","derived","78"
"60","derived","derived","79"
"61","derived","derived","80"
"62","derived","derived","81"
"63","derived","derived","82"
"64","derived","derived","83"
"65","actualAssociationPointer","edu.wustl.catissuecore.domain.Container_children_parent_edu.wustl.catissuecore.domain.Container","87"
"66","derived","derived","87"
"67","actualAssociationPointer","edu.wustl.catissuecore.domain.Container_children_parent_edu.wustl.catissuecore.domain.Container","88"
"68","derived","derived","88"
"78","actualAssociationPointer","edu.wustl.catissuecore.domain.ContainerType_edu.wustl.catissuecore.domain.ContainerType_capacity_edu.wustl.catissuecore.domain.Capacity","148"
"79","derived","derived","148"
"80","derived","derived","150"
"81","derived","derived","151"
"82","derived","derived","152"
"83","derived","derived","154"
"84","derived","derived","155"
"85","derived","derived","156"
"86","actualAssociationPointer","edu.wustl.catissuecore.domain.ContainerType_edu.wustl.catissuecore.domain.ContainerType_capacity_edu.wustl.catissuecore.domain.Capacity","158"
"87","derived","derived","158"
"88","derived","derived","159"
"89","derived","derived","160"
"90","derived","derived","161"
"91","derived","derived","162"
"92","derived","derived","164"
"93","derived","derived","165"
"95","derived","derived","179"
"96","derived","derived","180"
"97","derived","derived","181"
"98","derived","derived","182"
"99","derived","derived","183"
"100","derived","derived","184"
"101","derived","derived","186"
"102","derived","derived","187"
"103","derived","derived","188"
"104","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenProtocol_edu.wustl.catissuecore.domain.SpecimenProtocol_principalInvestigator_edu.wustl.catissuecore.domain.User","189"
"105","derived","derived","189"
"106","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenProtocol_edu.wustl.catissuecore.domain.SpecimenProtocol_principalInvestigator_edu.wustl.catissuecore.domain.User","193"
"107","derived","derived","193"
"108","derived","derived","194"
"109","derived","derived","195"
"110","derived","derived","196"
"111","derived","derived","197"
"112","derived","derived","198"
"113","derived","derived","199"
"114","derived","derived","200"
"115","derived","derived","201"
"116","derived","derived","202"
"119","derived","derived","210"
"120","derived","derived","213"
"121","derived","derived","216"
"122","derived","derived","219"
"124","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_specimenCollectionGroup_edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup","225"
"125","derived","derived","225"
