"4","SPECIMEN_ID","BIOHAZARD_ID","993"
"5",\N,"SPECIMEN_ID","994"
"6",\N,"SPECIMEN_ID","995"
"7",\N,"SPECIMEN_ID","996"
"8",\N,"SPECIMEN_ID","997"
"9",\N,"SPECIMEN_ID","998"
"10",\N,"SPECIMEN_ID","999"
"11",\N,"SPECIMEN_ID","1000"
"12",\N,"SPECIMEN_ID","1001"
"13",\N,"SPECIMEN_ID","1002"
"14",\N,"SPECIMEN_ID","1003"
"15",\N,"SPECIMEN_ID","1004"
"16","PARENT_SPECIMEN_ID",\N,"1005"
"17","PARENT_SPECIMEN_ID",\N,"1006"
"18","PARENT_SPECIMEN_ID",\N,"1007"
"19","PARENT_SPECIMEN_ID",\N,"1008"
"20","PARENT_SPECIMEN_ID",\N,"1009"
"21",\N,"SPECIMEN_ID","1010"
"22",\N,"SPECIMEN_ID","1011"
"23",\N,"SPECIMEN_ID","1012"
"24",\N,"SPECIMEN_ID","1013"
"25",\N,"SPECIMEN_ID","1014"
"26",\N,"SPECIMEN_ID","1015"
"27",\N,"SPECIMEN_ID","1016"
"28",\N,"SPECIMEN_ID","1017"
"29",\N,"SPECIMEN_ID","1018"
"30","SPECIMEN_COLLECTION_GROUP_ID",\N,"5"
"31","SPECIMEN_COLLECTION_GROUP_ID",\N,"6"
"32","SPECIMEN_COLLECTION_GROUP_ID",\N,"7"
"33",\N,"SPECIMEN_ID","8"
"34",\N,"PARENT_SPECIMEN_ID","9"
"35",\N,"PARENT_SPECIMEN_ID","10"
"36",\N,"PARENT_SPECIMEN_ID","11"
"37",\N,"PARENT_SPECIMEN_ID","12"
"38",\N,"PARENT_SPECIMEN_ID","13"
"39","SPECIMEN_CHARACTERISTICS_ID",\N,"14"
"54","AVAILABLE_QUANTITY",\N,"29"
"55","AVAILABLE_QUANTITY",\N,"30"
"56","AVAILABLE_QUANTITY",\N,"31"
"57","AVAILABLE_QUANTITY",\N,"32"
"58","AVAILABLE_QUANTITY",\N,"33"
"59","QUANTITY",\N,"34"
"60","QUANTITY",\N,"35"
"61","QUANTITY",\N,"36"
"62","QUANTITY",\N,"37"
"63","QUANTITY",\N,"38"
"64","STORAGE_CONTAINER_IDENTIFIER",\N,"39"
"66",\N,"PARENT_CONTAINER_ID","1019"
"67",\N,"PARENT_CONTAINER_ID","1020"
"68",\N,"PARENT_CONTAINER_ID","1021"
"69","CAPACITY_ID",\N,"41"
"70","PARENT_CONTAINER_ID",\N,"42"
"71","PARENT_CONTAINER_ID",\N,"43"
"72","PARENT_CONTAINER_ID",\N,"44"
"82",\N,"SPECIMEN_ARRAY_ID","1022"
"83",\N,"DE_E_53_43_IDENTIFIER","1023"
"84",\N,"DE_E_53_68_IDENTIFIER","1024"
"85",\N,"DE_E_53_88_IDENTIFIER","1025"
"86","CAPACITY_ID",\N,"54"
"87","STORAGE_CONTAINER_ID",\N,"55"
"88","CREATED_BY_ID",\N,"56"
"98","SPECIMEN_ARRAY_TYPE_ID",\N,"66"
"99","PARENT_CONTAINER_ID",\N,"67"
"100","PARENT_CONTAINER_ID",\N,"68"
"101","PARENT_CONTAINER_ID",\N,"69"
"103",\N,"DE_E_70_null_IDENTIFIER","1026"
"104",\N,"DE_E_70_null_IDENTIFIER","1027"
"105",\N,"DE_E_70_null_IDENTIFIER","1028"
"106","CAPACITY_ID",\N,"71"
"107","STORAGE_CONTAINER_ID","SPECIMEN_ARRAY_TYPE_ID","72"
"108","STORAGE_CONTAINER_ID","STORAGE_TYPE_ID","73"
"109","STORAGE_CONTAINER_ID","COLLECTION_PROTOCOL_ID","74"
"110","PARENT_CONTAINER_ID",\N,"75"
"120","STORAGE_TYPE_ID",\N,"85"
"121","SITE_ID",\N,"86"
"122","PARENT_CONTAINER_ID",\N,"87"
"123","PARENT_CONTAINER_ID",\N,"88"
"125","ADDRESS_ID",\N,"90"
"126","USER_ID",\N,"91"
"133","USER_ID","COLLECTION_PROTOCOL_ID","1029"
"134","DEPARTMENT_ID",\N,"98"
"144","CANCER_RESEARCH_GROUP_ID",\N,"108"
"145","INSTITUTION_ID",\N,"109"
"146","ADDRESS_ID",\N,"110"
"147",\N,"USER_ID","111"
"171","CAPACITY_ID",\N,"135"
"183","STORAGE_TYPE_ID","SPECIMEN_ARRAY_TYPE_ID","147"
"184","CAPACITY_ID",\N,"148"
"185","HOLDS_STORAGE_TYPE_ID","STORAGE_TYPE_ID","149"
"194","CAPACITY_ID",\N,"158"
"203","PRINCIPAL_INVESTIGATOR_ID",\N,"167"
"214",\N,"COLLECTION_PROTOCOL_ID","1030"
"215",\N,"COLLECTION_PROTOCOL_ID","1031"
"216",\N,"COLL_PROTOCOL_ID","178"
"227","PRINCIPAL_INVESTIGATOR_ID",\N,"189"
"228","COLLECTION_PROTOCOL_ID","USER_ID","190"
"229","COLLECTION_PROTOCOL_ID","DISTRIBUTION_PROTOCOL_ID","191"
"231","DISTRIBUTION_PROTOCOL_ID","SPECIMEN_REQUIREMENT_ID","1032"
"232","DISTRIBUTION_PROTOCOL_ID","COLLECTION_PROTOCOL_ID","1033"
"233","PRINCIPAL_INVESTIGATOR_ID",\N,"193"
"265","DE_E_T_224_969_IDENTIFIER","DE_E_S_965_969_IDENTIFIER","1034"
"266",\N,"DE_E_224_906_IDENTIFIER","1035"
"267","PARENT_SPECIMEN_ID",\N,"1036"
"268",\N,"DE_E_224_null_IDENTIFIER","1037"
"269",\N,"DE_E_224_null_IDENTIFIER","1038"
"270",\N,"DE_E_224_null_IDENTIFIER","1039"
"271",\N,"DE_E_224_null_IDENTIFIER","1040"
