"1","2007-10-10","Catissue Suite","2007-10-10","Catissue Suite",""
"2","2007-10-10","Base class for defining all domain objects in the system.","2007-10-10","edu.wustl.catissuecore.domain.AbstractDomainObject",""
"3","","System generated unique identifier.","","id","954196821"
"4","2007-10-10","A single unit of tissue, body fluid, or derivative biological macromolecule that is collected or created from a Participant","2007-10-10","edu.wustl.catissuecore.domain.Specimen",""
"5","","","","AssociationName_21",""
"6","","","","AssociationName_20",""
"7","","","","AssociationName_19",""
"8","","","","AssociationName_18",""
"9","","","","AssociationName_17",""
"10","","","","AssociationName_16",""
"11","","","","AssociationName_15",""
"12","","","","AssociationName_14",""
"13","","","","AssociationName_13",""
"14","","","","AssociationName_12",""
"15","","System generated unique identifier.","","id","954196821"
"16","","Reference to dimensional position two of the specimen in Storage Container.","","positionDimensionTwo","267670155"
"17","","","","collectionStatus","-292159954"
"18","","Histopathological character of the specimen e.g. Non-Malignant, Malignant, Non-Malignant Diseased, Pre-Malignant.","","pathologicalStatus","267670153"
"19","","Is this specimen still physically available in the tissue bank?","","available","267670148"
"20","","","","isCollectionProtocolRequirement","-292159955"
"21","","Barcode assigned to the specimen.","","barcode","267670149"
"22","","","","createdOn","-292159956"
"23","","Type of specimen. e.g. Serum, Plasma, Blood, Fresh Tissue etc.","","type","267670156"
"24","","Human readable unique label/name assigned to specimen.","","label","267670151"
"25","","Defines whether this Specimen record can be queried (Active) or not queried (Inactive) by any actor","","activityStatus","267670147"
"26","","Shows specimen's heredity status e.g. Original, Derivative, Aliquot","","lineage","267670152"
"27","","Comments on specimen.","","comment","267670150"
"28","","Reference to dimensional position one of the specimen in Storage Container.","","positionDimensionOne","267670154"
"29","","","","AssociationName_1",""
"30","","","","AssociationName_2",""
"31","","","","AssociationName_3",""
"32","","","","AssociationName_4",""
"33","","","","AssociationName_5",""
"34","","","","AssociationName_6",""
"35","","","","AssociationName_7",""
"36","","","","AssociationName_8",""
"37","","","","AssociationName_9",""
"38","","","","AssociationName_10",""
"39","","","","AssociationName_11",""
"40","2007-10-10","An object that can be used to hold things.","2007-10-10","edu.wustl.catissuecore.domain.Container",""
"41","","","","AssociationName_4",""
"42","","","","AssociationName_3",""
"43","","","","AssociationName_2",""
"44","","","","AssociationName_1",""
