"4","SPECIMEN_ID","BIOHAZARD_ID","993"
"5","","SPECIMEN_ID","994"
"6","","SPECIMEN_ID","995"
"7","","SPECIMEN_ID","996"
"8","","SPECIMEN_ID","997"
"9","","SPECIMEN_ID","998"
"10","","SPECIMEN_ID","999"
"11","","SPECIMEN_ID","1000"
"12","","SPECIMEN_ID","1001"
"13","","SPECIMEN_ID","1002"
"14","","SPECIMEN_ID","1003"
"15","","SPECIMEN_ID","1004"
"16","PARENT_SPECIMEN_ID","","1005"
"17","PARENT_SPECIMEN_ID","","1006"
"18","PARENT_SPECIMEN_ID","","1007"
"19","PARENT_SPECIMEN_ID","","1008"
"20","PARENT_SPECIMEN_ID","","1009"
"21","","SPECIMEN_ID","1010"
"22","","SPECIMEN_ID","1011"
"23","","SPECIMEN_ID","1012"
"24","","SPECIMEN_ID","1013"
"25","","SPECIMEN_ID","1014"
"26","","SPECIMEN_ID","1015"
"27","","SPECIMEN_ID","1016"
"28","","SPECIMEN_ID","1017"
"29","","SPECIMEN_ID","1018"
"30","SPECIMEN_COLLECTION_GROUP_ID","","5"
"31","SPECIMEN_COLLECTION_GROUP_ID","","6"
"32","SPECIMEN_COLLECTION_GROUP_ID","","7"
"33","","SPECIMEN_ID","8"
"34","","PARENT_SPECIMEN_ID","9"
"35","","PARENT_SPECIMEN_ID","10"
"36","","PARENT_SPECIMEN_ID","11"
"37","","PARENT_SPECIMEN_ID","12"
"38","","PARENT_SPECIMEN_ID","13"
"39","SPECIMEN_CHARACTERISTICS_ID","","14"
"54","AVAILABLE_QUANTITY","","29"
"55","AVAILABLE_QUANTITY","","30"
"56","AVAILABLE_QUANTITY","","31"
"57","AVAILABLE_QUANTITY","","32"
"58","AVAILABLE_QUANTITY","","33"
"59","QUANTITY","","34"
"60","QUANTITY","","35"
"61","QUANTITY","","36"
"62","QUANTITY","","37"
"63","QUANTITY","","38"
"64","STORAGE_CONTAINER_IDENTIFIER","","39"
"66","","PARENT_CONTAINER_ID","1019"
"67","","PARENT_CONTAINER_ID","1020"
"68","","PARENT_CONTAINER_ID","1021"
"69","CAPACITY_ID","","41"
"70","PARENT_CONTAINER_ID","","42"
"71","PARENT_CONTAINER_ID","","43"
"72","PARENT_CONTAINER_ID","","44"
"82","","SPECIMEN_ARRAY_ID","1022"
"83","","DE_E_53_43_IDENTIFIER","1023"
"84","","DE_E_53_68_IDENTIFIER","1024"
"85","","DE_E_53_88_IDENTIFIER","1025"
"86","CAPACITY_ID","","54"
"87","STORAGE_CONTAINER_ID","","55"
"88","CREATED_BY_ID","","56"
"98","SPECIMEN_ARRAY_TYPE_ID","","66"
"99","PARENT_CONTAINER_ID","","67"
"100","PARENT_CONTAINER_ID","","68"
"101","PARENT_CONTAINER_ID","","69"
"103","","DE_E_70_null_IDENTIFIER","1026"
"104","","DE_E_70_null_IDENTIFIER","1027"
"105","","DE_E_70_null_IDENTIFIER","1028"
"106","CAPACITY_ID","","71"
"107","STORAGE_CONTAINER_ID","SPECIMEN_ARRAY_TYPE_ID","72"
"108","STORAGE_CONTAINER_ID","STORAGE_TYPE_ID","73"
"109","STORAGE_CONTAINER_ID","COLLECTION_PROTOCOL_ID","74"
"110","PARENT_CONTAINER_ID","","75"
"120","STORAGE_TYPE_ID","","85"
"121","SITE_ID","","86"
"122","PARENT_CONTAINER_ID","","87"
"123","PARENT_CONTAINER_ID","","88"
"125","ADDRESS_ID","","90"
"126","USER_ID","","91"
"133","USER_ID","COLLECTION_PROTOCOL_ID","1029"
"134","DEPARTMENT_ID","","98"
"144","CANCER_RESEARCH_GROUP_ID","","108"
"145","INSTITUTION_ID","","109"
"146","ADDRESS_ID","","110"
"147","","USER_ID","111"
"171","CAPACITY_ID","","135"
"183","STORAGE_TYPE_ID","SPECIMEN_ARRAY_TYPE_ID","147"
"184","CAPACITY_ID","","148"
