IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,value,PUBLIC_ID,SORTORDER
1523,,,null,Tunisia,2004100,null
1524,,,null,Kuwait,2004100,null
1525,,,null,Iran,2004100,null
1526,,,null,United Kingdom,2004100,null
1527,,,null,Romania,2004100,null
1528,,,null,Slovakia,2004100,null
1529,,,null,Turks and Caicos Islands,2004100,null
1530,,,null,Western Sahara,2004100,null
1531,,,null,Haiti,2004100,null
1532,,,null,Seychelles,2004100,null
1533,,,null,Saint Lucia,2004100,null
1534,,,null,Mauritania,2004100,null
1535,,,null,Gabon,2004100,null
1536,,,null,Tuvalu,2004100,null
1537,,,null,Norfolk Island,2004100,null
1538,,,null,Lebanon,2004100,null
1539,,,null,Saint Helena,2004100,null
1540,,,null,Papua New Guinea,2004100,null
1541,,,null,Reunion,2004100,null
1542,,,null,Christmas Island,2004100,null
1543,,,null,Vietnam,2004100,null
1544,,,null,Gibraltar,2004100,null
1545,,,null,Switzerland,2004100,null
1546,,,null,Zambia,2004100,null
1547,,,null,Singapore,2004100,null
1548,,,null,Macau,2004100,null
1549,,,null,Somalia,2004100,null
1550,,,null,American Samoa,2004100,null
1551,,,null,Chile,2004100,null
1552,,,null,Nauru,2004100,null
1553,,,null,Guyana,2004100,null
1554,,,null,Fiji,2004100,null
1555,,,null,Congo,2004100,null
1556,,,null,Croatia,2004100,null
1557,,,null,Guinea-Bissau,2004100,null
1558,,,null,Australia,2004100,null
1559,,,null,Swaziland,2004100,null
1560,,,null,Czech Republic,2004100,null
1561,,,null,Cocos Islands,2004100,null
1562,,,null,New Caledonia,2004100,null
1563,,,null,Malawi,2004100,null
1564,,,null,Dominica,2004100,null
1565,,,null,Ethiopia,2004100,null
1566,,,null,Belarus,2004100,null
1567,,,null,Saint Pierre,2004100,null
1568,,,null,Mozambique,2004100,null
1569,,,null,Belgium,2004100,null
1570,,,null,Liechtenstein,2004100,null
1571,,,null,South Africa,2004100,null
1572,,,null,Barbados,2004100,null
1573,,,null,San Marino,2004100,null
1574,,,null,Colombia,2004100,null
1575,,,null,Palau,2004100,null
1576,,,null,Burkina Faso,2004100,null
1577,,,null,Nigeria,2004100,null
1578,,,null,Peru,2004100,null
1579,,,null,Japan,2004100,null
1580,,,null,Cambodia,2004100,null
1581,,,null,Netherlands Antilles,2004100,null
1582,,,null,Qatar,2004100,null
1583,,,null,Trinidad and Tobago,2004100,null
1584,,,null,Saudi Arabia,2004100,null
1585,,,null,Venezuela,2004100,null
1586,,,null,Pakistan,2004100,null
1587,,,null,Egypt,2004100,null
1588,,,null,Jordan,2004100,null
1589,,,null,Zaire,2004100,null
1590,,,null,Aruba,2004100,null
1591,,,null,French Guiana,2004100,null
1592,,,null,France,2004100,null
1593,,,null,Niue,2004100,null
1594,,,null,Guinea,2004100,null
1595,,,null,Costa Rica,2004100,null
1596,,,null,Guadeloupe,2004100,null
1597,,,null,Tajikistan,2004100,null
1598,,,null,Bosnia and Herzegovina,2004100,null
1599,,,null,Cayman Islands,2004100,null
1600,,,null,Macedonia,2004100,null
1601,,,null,Cook Islands,2004100,null
1602,,,null,Guatemala,2004100,null
1603,,,null,Afghanistan,2004100,null
1604,,,null,Netherlands,2004100,null
1605,,,null,Bouvet Island,2004100,null
1606,,,null,El Salvador,2004100,null
1607,,,null,Sudan,2004100,null
1608,,,null,Kiribati,2004100,null
1609,,,null,Armenia,2004100,null
1610,,,null,Rwanda,2004100,null
1611,,,null,Kenya,2004100,null
1612,,,null,Iceland,2004100,null
1613,,,null,Hong Kong,2004100,null
1614,,,null,Samoa,2004100,null
1615,,,null,Turkey,2004100,null
1616,,,null,Saint Vincent,2004100,null
1617,,,null,Mauritius,2004100,null
1618,,,null,Monaco,2004100,null
1619,,,null,Faroe Islands,2004100,null
1620,,,null,Kyrgyzstan,2004100,null
1621,,,null,Indonesia,2004100,null
1622,,,null,Namibia,2004100,null
1623,,,null,Mongolia,2004100,null
1624,,,null,Tanzania,2004100,null
1625,,,null,Philippines,2004100,null
1626,,,null,Azerbaijan,2004100,null
1627,,,null,Martinique,2004100,null
1628,,,null,Paraguay,2004100,null
1629,,,null,Latvia,2004100,null
1630,,,null,Turkmenistan,2004100,null
1631,,,null,Norway,2004100,null
1632,,,null,Angola,2004100,null
1633,,,null,Nepal,2004100,null
1634,,,null,Mexico,2004100,null
1635,,,null,Finland,2004100,null
1636,,,null,Senegal,2004100,null
1637,,,null,Bhutan,2004100,null
1638,,,null,Cape Verde,2004100,null
1639,,,null,Marshall Islands,2004100,null
1640,,,null,Grenada,2004100,null
1641,,,null,Russian Federation,2004100,null
1642,,,null,Myanmar,2004100,null
1643,,,null,Algeria,2004100,null
1644,,,null,Kazakhstan,2004100,null
1645,,,null,Pitcairn,2004100,null
1646,,,null,Bolivia,2004100,null
1647,,,null,Mali,2004100,null
1648,,,null,Belize,2004100,null
1649,,,null,Micronesia,2004100,null
1650,,,null,Taiwan,2004100,null
1651,,,null,Israel,2004100,null
1652,,,null,East Timor,2004100,null
1653,,,null,Moldova,2004100,null
1654,,,null,Puerto Rico,2004100,null
1655,,,null,Vanuatu,2004100,null
1656,,,null,Austria,2004100,null
1657,,,null,Togo,2004100,null
1658,,,null,Bermuda,2004100,null
1659,,,null,Dominican Republic,2004100,null
1660,,,null,Bulgaria,2004100,null
1661,,,null,Virgin Islands,2004100,null
1662,,,null,Antarctica,2004100,null
1663,,,null,Cyprus,2004100,null
1664,,,null,Cameroon,2004100,null
1665,,,null,Malaysia,2004100,null
1666,,,null,Solomon Islands,2004100,null
1667,,,null,Nicaragua,2004100,null
1668,,,null,Sierra Leone,2004100,null
1669,,,null,Lesotho,2004100,null
1670,,,null,Andorra,2004100,null
1671,,,null,Greece,2004100,null
1672,,,null,Central African Republic,2004100,null
1673,,,null,Jamaica,2004100,null
1674,,,null,Sao Tome and Principe,2004100,null
1675,,,null,Bahamas,2004100,null
1676,,,null,Ghana,2004100,null
1677,,,null,Bangladesh,2004100,null
1678,,,null,French S. Territories,2004100,null
1679,,,null,Bahrain,2004100,null
1680,,,null,Uganda,2004100,null
1681,,,null,Montserrat,2004100,null
1682,,,null,Luxembourg,2004100,null
1683,,,null,Botswana,2004100,null
1684,,,null,New Zealand,2004100,null
1685,,,null,Germany,2004100,null
1686,,,null,Portugal,2004100,null
1687,,,null,Saint Kitts and Nevis,2004100,null
1688,,,null,Ecuador,2004100,null
1689,,,null,Greenland,2004100,null
1690,,,null,United Arab Emirates,2004100,null
1691,,,null,Tonga,2004100,null
1692,,,null,India,2004100,null
1693,,,null,Albania,2004100,null
1694,,,null,Anguilla,2004100,null
1695,,,null,Liberia,2004100,null
1696,,,null,Maldives,2004100,null
1697,,,null,Sweden,2004100,null
1698,,,null,Uruguay,2004100,null
1699,,,null,Vatican City State,2004100,null
1700,,,null,Antigua and Barbuda,2004100,null
1701,,,null,Thailand,2004100,null
1702,,,null,Estonia,2004100,null
1703,,,null,Tokelau,2004100,null
1704,,,null,Ukraine,2004100,null
1705,,,null,Laos,2004100,null
1706,,,null,Chad,2004100,null
1707,,,null,Syrian Arab Republic,2004100,null
1708,,,null,Burundi,2004100,null
1709,,,null,Uzbekistan,2004100,null
1710,,,null,Yemen,2004100,null
1711,,,null,Argentina,2004100,null
1712,,,null,Hungary,2004100,null
1713,,,null,Yugoslavia,2004100,null
1714,,,null,Eritrea,2004100,null
1715,,,null,Mayotte,2004100,null
1716,,,null,Suriname,2004100,null
1717,,,null,Ireland,2004100,null
1718,,,null,Guam,2004100,null
1719,,,null,Wallis And Futuna Islands,2004100,null
1720,,,null,Morocco,2004100,null
1721,,,null,Benin,2004100,null
1722,,,null,Poland,2004100,null
1723,,,null,Panama,2004100,null
1724,,,null,Spain,2004100,null
1725,,,null,French Polynesia,2004100,null
1726,,,null,Korea,2004100,null
1727,,,null,China,2004100,null
1728,,,null,Iraq,2004100,null
1729,,,null,Oman,2004100,null
1730,,,null,Sri Lanka,2004100,null
1731,,,null,Gambia,2004100,null
1732,,,null,Brunei Darussalam,2004100,null
1733,,,null,Cote D ivoire,2004100,null
1734,,,null,Italy,2004100,null
1735,,,null,Madagascar,2004100,null
1736,,,null,Slovenia,2004100,null
1737,,,null,Equatorial Guinea,2004100,null
1738,,,null,Falkland Islands,2004100,null
1739,,,null,Comoros,2004100,null
1740,,,null,Honduras,2004100,null
1741,,,null,Canada,2004100,null
1742,,,null,United States,2004100,null
1743,,,null,Brazil,2004100,null
1744,,,null,Zimbabwe,2004100,null
1745,,,null,Niger,2004100,null
1746,,,null,Denmark,2004100,null
1747,,,null,Georgia,2004100,null
1748,,,null,Djibouti,2004100,null
1749,,,null,Lithuania,2004100,null
1750,,,null,Malta,2004100,null
