IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,value,PUBLIC_ID,SORTORDER
getNextPvId(),,,null,"Rectum, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,"Esophagus, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,Middle third of esophagus,Tissue_Site_PID,null
getNextPvId(),,,null,Lower third of esophagus,Tissue_Site_PID,null
getNextPvId(),,,null,Abdominal esophagus,Tissue_Site_PID,null
getNextPvId(),,,null,Upper third of esophagus,Tissue_Site_PID,null
getNextPvId(),,,null,Thoracic esophagus,Tissue_Site_PID,null
getNextPvId(),,,null,Cervical esophagus,Tissue_Site_PID,null
getNextPvId(),,,null,Overlapping lesion of esophagus,Tissue_Site_PID,null
getNextPvId(),,,null,Hepatic flexure of colon,Tissue_Site_PID,null
getNextPvId(),,,null,"Colon, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,Descending colon,Tissue_Site_PID,null
getNextPvId(),,,null,Cecum,Tissue_Site_PID,null
getNextPvId(),,,null,Sigmoid colon,Tissue_Site_PID,null
getNextPvId(),,,null,Splenic flexure of colon,Tissue_Site_PID,null
getNextPvId(),,,null,Ascending colon,Tissue_Site_PID,null
getNextPvId(),,,null,Transverse colon,Tissue_Site_PID,null
getNextPvId(),,,null,Overlapping lesion of colon,Tissue_Site_PID,null
getNextPvId(),,,null,Appendix,Tissue_Site_PID,null
getNextPvId(),,,null,Gallbladder,Tissue_Site_PID,null
getNextPvId(),,,null,Ampulla of Vater,Tissue_Site_PID,null
getNextPvId(),,,null,"Biliary tract, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,Overlapping lesion of biliary tract,Tissue_Site_PID,null
getNextPvId(),,,null,Extrahepatic bile duct,Tissue_Site_PID,null
getNextPvId(),,,null,Intrahepatic bile duct,Tissue_Site_PID,null
getNextPvId(),,,null,Liver,Tissue_Site_PID,null
getNextPvId(),,,null,Rectosigmoid junction,Tissue_Site_PID,null
getNextPvId(),,,null,Pancreatic duct,Tissue_Site_PID,null
getNextPvId(),,,null,Tail of pancreas,Tissue_Site_PID,null
getNextPvId(),,,null,"Pancreas, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,Other specified parts of pancreas,Tissue_Site_PID,null
getNextPvId(),,,null,Islets of Langerhans,Tissue_Site_PID,null
getNextPvId(),,,null,Overlapping lesion of pancreas,Tissue_Site_PID,null
getNextPvId(),,,null,Body of pancreas,Tissue_Site_PID,null
getNextPvId(),,,null,Head of pancreas,Tissue_Site_PID,null
getNextPvId(),,,null,"Gastrointestinal tract, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,Overlapping lesion of digestive system,Tissue_Site_PID,null
getNextPvId(),,,null,"Intestinal tract, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,"Small intestine, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,Duodenum,Tissue_Site_PID,null
getNextPvId(),,,null,Meckel's diverticulum,Tissue_Site_PID,null
getNextPvId(),,,null,Jejunum,Tissue_Site_PID,null
getNextPvId(),,,null,Overlapping lesion of small intestine,Tissue_Site_PID,null
getNextPvId(),,,null,Ileum,Tissue_Site_PID,null
getNextPvId(),,,null,"Anus, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,Anal canal,Tissue_Site_PID,null
getNextPvId(),,,null,Cloacogenic zone,Tissue_Site_PID,null
getNextPvId(),,,null,"Overlapping lesion of rectum, anus and anal canal",Tissue_Site_PID,null
getNextPvId(),,,null,"Stomach, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,"Greater curvature of stomach, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,Fundus of stomach,Tissue_Site_PID,null
getNextPvId(),,,null,Pylorus,Tissue_Site_PID,null
getNextPvId(),,,null,"Cardia, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,Overlapping lesion of stomach,Tissue_Site_PID,null
getNextPvId(),,,null,"Lesser curvature of stomach, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,Gastric antrum,Tissue_Site_PID,null
getNextPvId(),,,null,Body of stomach,Tissue_Site_PID,null
getNextPvId(),,,null,Skin of other and unspecified parts of face,Tissue_Site_PID,null
getNextPvId(),,,null,"Skin, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,Skin of upper limb and shoulder,Tissue_Site_PID,null
getNextPvId(),,,null,Overlapping lesion of skin,Tissue_Site_PID,null
getNextPvId(),,,null,Skin of lower limb and hip,Tissue_Site_PID,null
getNextPvId(),,,null,External ear,Tissue_Site_PID,null
getNextPvId(),,,null,Eyelid,Tissue_Site_PID,null
getNextPvId(),,,null,"Skin of lip, NOS",Tissue_Site_PID,null
getNextPvId(),,,null,Skin of trunk,Tissue_Site_PID,null
